"","job_role","area_of_work"
"1","Dietitian",""
"2","Dietitian","Dietetics"
"3","Dietitian","Intensive Care"
"4","Dietitian","Intensive care"
"5","Occupational Therapist",""
"6","Occupational Therapist","Critical Care"
"7","Occupational Therapist","Occupational Therapy"
"8","Occupational Therapist","Palliative Medicine"
"9","Occupational Therapist Manager","Occupational Therapy"
"10","Operating Department Practitioner",""
"11","Operating Department Practitioner","Acute Internal Medicine"
"12","Operating Department Practitioner","Operating Department"
"13","Orthoptist",""
"14","Orthoptist","Orthoptics"
"15","Orthoptist","Orthoptics/Optics"
"16","Physiotherapist",""
"17","Physiotherapist","Acute Internal Medicine"
"18","Physiotherapist","Education"
"19","Physiotherapist","Elderly Care Medicine"
"20","Physiotherapist","Occupational Health"
"21","Physiotherapist","Pain Management"
"22","Physiotherapist","Physiotherapy"
"23","Physiotherapist","Rehabilitation"
"24","Physiotherapist","Trauma and Orthopaedic Surgery"
"25","Physiotherapist Manager",""
"26","Physiotherapist Manager","Physiotherapy"
"27","Radiographer - Diagnostic",""
"28","Radiographer - Diagnostic","Breast Screening"
"29","Radiographer - Diagnostic","CT"
"30","Radiographer - Diagnostic","Imaging"
"31","Radiographer - Diagnostic","MRI"
"32","Radiographer - Diagnostic","Ultrasound"
"33","Radiographer - Diagnostic","Urology"
"34","Radiographer - Diagnostic, Manager","Imaging"
"35","Radiographer - Therapeutic",""
"36","Radiographer - Therapeutic","Radiotherapy Physics"
"37","Radiographer - Therapeutic","Research and Development"
"38","Radiographer - Therapeutic, Manager",""
"39","Radiographer - Therapeutic, Manager","Radiotherapy Physics"
"40","Speech and Language Therapist",""
"41","Speech and Language Therapist","Speech and Language Therapy"
"42","Speech and Language Therapist Manager",""
"43","Speech and Language Therapist Manager","Corporate"
